1.5 1.7 50,50,57,49,49,49,49,49,48,50
1.5 1.8 50,50,50,50,51,50,50,50,50,50
1.5 1.9 50,50,50,50,50,50,50,50,50,50
1.5 2.0 50,50,50,50,50,50,50,51,50,50
1.6 0.8 50,50,50,50,50,50,50,50,50,50
1.6 0.9 50,50,50,50,50,50,50,50,50,50
1.6 1.0 50,50,50,50,50,50,50,50,50,50
1.6 1.1 50,50,50,50,50,50,50,50,50,50
1.6 1.2 50,51,50,50,50,50,53,50,50,50
1.6 1.3 50,50,50,50,50,50,50,50,50,50
1.6 1.4 50,50,48,52,50,50,49,49,49,50
1.6 1.5 50,50,45,46,50,43,52,50,44,41
1.6 1.6 1,1,1,1,1,1,1,1,1,1
1.6 1.7 53,50,53,51,41,48,48,61,44,51
1.6 1.8 49,55,54,51,49,49,50,50,50,51
1.6 1.9 49,50,49,50,50,51,51,50,50,51
1.6 2.0 50,50,49,50,50,50,50,51,50,50
1.7 0.8 50,50,50,50,50,50,50,50,50,50
1.7 0.9 50,50,50,50,50,50,50,50,50,50
1.7 1.0 50,50,50,50,50,50,50,50,50,50
1.7 1.1 50,50,50,50,50,50,50,50,50,50
1.7 1.2 50,50,50,50,50,50,50,50,50,50
1.7 1.3 50,50,50,50,50,50,50,50,50,50
1.7 1.4 50,50,50,50,50,50,49,50,50,50
1.7 1.5 52,50,49,50,49,50,46,50,50,50
1.7 1.6 49,50,54,49,80,49,49,40,50,46
1.7 1.7 1,1,1,1,1,1,1,1,1,1
1.7 1.8 46,41,50,46,40,49,54,50,47,58
1.7 1.9 48,54,54,50,50,49,54,50,47,50
1.7 2.0 50,50,50,48,50,50,55,50,50,50
1.8 0.8 50,50,50,50,50,50,50,50,50,50
1.8 0.9 50,50,50,50,50,50,50,50,50,50
1.8 1.0 50,50,50,50,50,50,50,50,50,50
1.8 1.1 50,50,50,50,50,50,50,50,50,50
1.8 1.2 50,50,50,50,50,50,50,50,50,50
1.8 1.3 50,50,50,50,50,50,49,50,50,50
1.8 1.4 50,49,50,50,50,50,50,50,50,50
1.8 1.5 50,50,50,50,50,50,50,50,54,50
1.8 1.6 50,50,52,50,48,42,47,46,51,50
1.8 1.7 54,62,43,73,50,54,49,55,52,50
1.8 1.8 1,1,1,1,1,1,1,1,1,1
1.8 1.9 50,78,63,48,49,49,49,61,42,53
1.8 2.0 53,49,50,55,50,49,52,47,50,52
1.9 0.8 50,50,50,50,50,50,50,50,50,50
1.9 0.9 50,50,50,50,50,50,50,50,50,50
1.9 1.0 50,50,50,50,50,50,50,50,50,50
1.9 1.1 50,50,50,50,50,50,50,50,50,50
1.9 1.2 50,50,50,50,50,50,50,50,50,50
1.9 1.3 50,50,50,50,50,50,50,50,50,50
1.9 1.4 50,50,50,50,50,51,50,50,50,50
1.9 1.5 50,51,50,50,50,50,50,50,50,50
1.9 1.6 50,50,49,49,49,50,50,51,50,52
1.9 1.7 51,51,52,47,51,49,50,48,51,53
1.9 1.8 74,70,50,49,49,46,54,49,50,49
1.9 1.9 1,1,1,1,1,1,1,1,1,1
1.9 2.0 52,79,44,54,42,44,25,51,43,100
2.0 0.8 50,50,50,50,50,50,50,50,50,50
2.0 0.9 50,50,50,50,50,50,50,50,50,50
2.0 1.0 50,50,50,50,50,50,50,50,50,50
2.0 1.1 50,50,50,50,50,50,50,50,50,50
2.0 1.2 50,50,50,50,50,50,50,50,50,50
2.0 1.3 50,50,50,50,50,50,50,50,50,50
2.0 1.4 50,50,50,50,50,50,50,50,50,49
2.0 1.5 50,51,50,50,50,51,50,50,50,50
2.0 1.6 50,50,50,50,50,50,50,50,50,52
2.0 1.7 51,46,48,48,50,55,52,52,50,54
2.0 1.8 54,48,50,50,43,48,50,51,50,52
2.0 1.9 53,12,49,74,47,42,55,48,44,54
2.0 2.0 1,1,1,1,1,1,1,1,1,1
