1492608937 35337 528348 14.951694 7819 2826 6726 10653 2938 4362 11087.693353 3349.777287 26.745021 11.314068 73.049816 41.887433 0.035762 2981526 506775 
1493213737 36453 542335 14.877651 7969 2842 6937 11089 2993 4544 11221.389762 3383.927386 27.379780 11.660645 74.262454 42.926586 0.036169 3117282 531016 
1493818537 36712 551866 15.032306 8004 2860 6981 11157 3014 4565 11436.286718 3463.256483 27.950889 11.941624 75.504193 43.862221 0.036323 3235290 552331 
1494423337 37091 563038 15.179909 8135 2875 7037 11290 3040 4586 11651.175595 3556.256882 28.417511 12.219538 76.382374 44.735889 0.036471 3371346 577474 
1495028137 37565 575161 15.311087 8214 2888 7119 11428 3082 4635 11832.026434 3647.506695 29.020818 12.529383 77.426162 45.607495 0.036495 3513257 604726 
1495632937 38777 591195 15.246022 8423 2911 7381 11791 3210 4815 11919.227351 3690.237589 29.583618 12.904474 78.453748 46.699385 0.036472 3676653 636121 
1496237737 39525 605678 15.323922 8535 2931 7528 12043 3276 4904 12081.909880 3770.241164 30.172540 13.248926 79.412695 47.654314 0.036518 3844281 667847 
1496842537 41157 631488 15.343392 8743 2943 7842 12430 3453 5126 12094.037418 3805.862040 30.775607 13.635257 80.620604 48.922201 0.036732 4059614 708624 
1497447337 41853 649558 15.519987 8821 2954 7946 12610 3494 5157 12241.418441 3900.068239 31.388600 13.923457 81.677163 49.812527 0.036929 4245525 744899 
1498052137 42434 665368 15.680068 8901 2969 8053 12778 3556 5192 12395.975821 4010.433237 31.915005 14.194304 82.712787 50.690144 0.037036 4432698 780026 
1498656937 42880 678971 15.834212 8961 2980 8128 12909 3591 5214 12533.194380 4107.314389 32.441167 14.473350 83.717847 51.470190 0.037119 4598738 813306 
1499261737 43323 691467 15.960737 9038 2993 8203 13018 3631 5282 12656.132055 4193.179073 32.898969 14.692709 84.721345 52.095753 0.037135 4753297 842584 
1499866537 43798 704010 16.074022 9060 2996 8318 13145 3649 5354 12767.711083 4278.317686 33.454942 14.986577 85.935143 53.043814 0.037310 4917048 873408 
