10 3 2 1.3333333333333333 0.6666666666666666 2 0.0 2.0 -1.0
10 3 2 1.3333333333333333 0.6666666666666666 2 0.0 2.0 -1.0
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0
90 8 5 1.25 0.17857142857142858 2 0.0 1.75 -0.6666666666666689
95 10 6 1.2 0.13333333333333333 2 0.0 1.6 -0.500000000000003
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333
176 16 9 1.125 0.075 2 0.0 1.375 -0.2857142857142868
189 20 12 1.2 0.06315789473684211 3 0.0 1.7 -0.3521126760563375
197 24 15 1.25 0.05434782608695652 3 0.0 1.9166666666666667 -0.4383561643835613
209 27 17 1.2592592592592593 0.04843304843304843 3 0.0 1.9259259259259258 -0.27011494252873597
220 28 18 1.2857142857142858 0.047619047619047616 3 0.0 2.0 -0.1489361702127685
227 31 20 1.2903225806451613 0.043010752688172046 4 0.0 2.129032258064516 -0.17647058823529468
238 35 22 1.2571428571428571 0.03697478991596639 4 0.0 2.0 -0.13199105145413753
244 36 23 1.2777777777777777 0.03650793650793651 4 0.0 2.111111111111111 -0.11985018726591586
244 36 23 1.2777777777777777 0.03650793650793651 4 0.0 2.111111111111111 -0.11985018726591586
269 37 24 1.2972972972972974 0.036036036036036036 4 0.0 2.1621621621621623 -0.1571428571428577
274 38 25 1.3157894736842106 0.03556187766714083 4 0.0 2.210526315789474 -0.19453924914676196
274 38 25 1.3157894736842106 0.03556187766714083 4 0.0 2.210526315789474 -0.19453924914676196
292 40 26 1.3 0.03333333333333333 4 0.0 2.15 -0.17230273752013156
292 40 26 1.3 0.03333333333333333 4 0.0 2.15 -0.17230273752013156
292 40 26 1.3 0.03333333333333333 4 0.0 2.15 -0.17230273752013156
324 44 29 1.3181818181818181 0.0306553911205074 4 0.0 2.1818181818181817 -0.18117977528089999
338 47 31 1.3191489361702127 0.028677150786308975 4 0.0 2.1702127659574466 -0.19537275064267032
338 47 31 1.3191489361702127 0.028677150786308975 4 0.0 2.1702127659574466 -0.19537275064267032
358 48 32 1.3333333333333333 0.028368794326241134 4 0.0 2.2083333333333335 -0.22924411400247832
366 51 35 1.3725490196078431 0.027450980392156862 4 0.0 2.3137254901960786 -0.2527964205816551
378 55 37 1.3454545454545455 0.024915824915824916 4 0.0 2.2181818181818183 -0.21063394683026723
378 55 37 1.3454545454545455 0.024915824915824916 4 0.0 2.2181818181818183 -0.21063394683026723
400 59 42 1.423728813559322 0.024547048509643482 4 0.0 2.542372881355932 -0.1329479768786148
407 63 44 1.3968253968253967 0.022529441884280594 4 0.0 2.4444444444444446 -0.0980392156862741
411 64 45 1.40625 0.022321428571428572 5 0.0 2.5625 -0.15431596091205374
429 67 48 1.4328358208955223 0.021709633649932156 5 0.0 2.6865671641791047 -0.12449799196787023
439 73 53 1.452054794520548 0.020167427701674276 5 0.0 2.73972602739726 -0.16348931253610927
448 75 56 1.4933333333333334 0.02018018018018018 5 0.02222222222222222 2.9066666666666667 -0.1476005188067439
458 78 58 1.4871794871794872 0.019314019314019316 5 0.021367521367521364 2.923076923076923 -0.14388166741371855
464 82 61 1.4878048780487805 0.018367961457392352 5 0.02032520325203252 2.926829268292683 -0.1509433962264152
475 84 62 1.4761904761904763 0.01778542742398164 5 0.01984126984126984 2.880952380952381 -0.13784161180929122
488 86 63 1.4651162790697674 0.017236662106703146 5 0.01937984496124031 2.8372093023255816 -0.12543689320388152
496 90 65 1.4444444444444444 0.016229712858926344 5 0.018518518518518517 2.7555555555555555 -0.10250737463126687
510 93 67 1.4408602150537635 0.015661524076671342 5 0.017921146953405017 2.7311827956989245 -0.10361317747077647
515 94 68 1.446808510638298 0.01555708075955159 5 0.017730496453900707 2.8085106382978724 -0.11261792452829654
515 94 68 1.446808510638298 0.01555708075955159 5 0.017730496453900707 2.8085106382978724 -0.11261792452829654
536 98 70 1.4285714285714286 0.014727540500736377 5 0.017006802721088433 2.7346938775510203 -0.09374999999999484
536 98 70 1.4285714285714286 0.014727540500736377 5 0.017006802721088433 2.7346938775510203 -0.09374999999999484
560 105 78 1.4857142857142858 0.014285714285714285 6 0.015873015873015872 3.085714285714286 -0.12598425196850038
568 106 79 1.490566037735849 0.014195867026055705 6 0.015723270440251572 3.1132075471698113 -0.11875106637092979
578 108 82 1.5185185185185186 0.014191761855313257 6 0.015432098765432098 3.2222222222222223 -0.12083468133290676
587 112 86 1.5357142857142858 0.013835263835263836 6 0.01488095238095238 3.3392857142857144 -0.12612795983445754
596 119 93 1.5630252100840336 0.013245976356644353 6 0.014005602240896357 3.411764705882353 -0.10353519827850757
