10 3 2 1.3333333333333333 0.6666666666666666 2 0.0 2.0 -1.0 2.0 2 1 0
1010 252 245 1.9444444444444444 0.007746790615316512 14 0.009743299029013313 6.0476190476190474 0.020002498400258074 22.135943621178654 134 61 4
2009 868 1321 3.043778801843318 0.003510702193590909 27 0.041107361556759536 17.013824884792626 0.09579566412775307 51.40038910358559 332 160 99
3010 1653 3235 3.914095583787054 0.002369307254108386 31 0.05019234823047033 28.40411373260738 0.07755776920739685 80.43631020876082 488 285 304
4010 2472 5812 4.702265372168285 0.0019029807252805685 52 0.05559374373933969 43.05987055016181 0.060551037072981075 107.81465577554845 595 426 642
5008 3313 8996 5.430727437367945 0.001639712390509645 60 0.06598282195635788 57.084213703591914 0.06298057352258411 134.13426109685773 661 506 1162
6010 4124 12557 6.089718719689622 0.0014770115740212518 66 0.06591888909186669 71.70756547041707 0.058842116113996264 158.47397262642215 730 551 1750
7010 5010 17598 7.025149700598803 0.0014025054303451392 79 0.0702670143658741 96.05389221556887 0.040876404429984796 187.60597005426027 749 586 2777
8010 5871 23112 7.873275421563617 0.0013412734960074307 86 0.07313611008135845 118.57468915005961 0.040149025984073015 214.99767440602702 726 608 4011
9005 6708 28779 8.580500894454383 0.0012793351564715047 100 0.07143144894111024 140.73613595706618 0.031845953178958594 239.9124840436612 740 613 5294
10010 7566 36154 9.55696537139836 0.0012633133339588051 180 0.073936038859796 180.2204599524187 0.0011196505234258305 268.9014689435519 700 615 7251
11010 8405 42788 10.181558596073765 0.0012115133979145366 191 0.07483340166618431 203.70350981558596 0.00411592384684323 292.5337587356372 688 648 8851
12010 9252 49810 10.767401642888025 0.0011639175919239027 200 0.0751291542536312 223.04582792909642 0.008828796714379587 315.6263613832026 682 630 10546
12910 10000 57366 11.4732 0.0011474347434743475 210 0.0749226863060138 251.0424 0.004302204633105748 338.72112423053863 639 633 12514
