10 3 2 1.3333333333333333 0.6666666666666666 2 0.0 2.0 -1.0 2.0 2 1 0
10 3 2 1.3333333333333333 0.6666666666666666 2 0.0 2.0 -1.0 2.0 2 1 0
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006 2.449489742783178 4 1 0
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006 2.449489742783178 4 1 0
23 5 3 1.2 0.3 2 0.0 1.6 -0.5000000000000006 2.449489742783178 4 1 0
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0 2.8284271247461903 4 2 0
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0 2.8284271247461903 4 2 0
57 6 4 1.3333333333333333 0.26666666666666666 2 0.0 2.0 -1.0 2.8284271247461903 4 2 0
90 8 5 1.25 0.17857142857142858 2 0.0 1.75 -0.6666666666666689 3.1622776601683795 6 2 0
95 10 6 1.2 0.13333333333333333 2 0.0 1.6 -0.500000000000003 3.4641016151377544 8 2 0
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825 3.7416573867739413 10 2 0
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825 3.7416573867739413 10 2 0
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825 3.7416573867739413 10 2 0
101 12 7 1.1666666666666667 0.10606060606060606 2 0.0 1.5 -0.39999999999999825 3.7416573867739413 10 2 0
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333 4.0 12 2 0
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333 4.0 12 2 0
145 14 8 1.1428571428571428 0.08791208791208792 2 0.0 1.4285714285714286 -0.3333333333333333 4.0 12 2 0
176 16 9 1.125 0.075 2 0.0 1.375 -0.2857142857142868 4.242640687119285 14 2 0
189 20 12 1.2 0.06315789473684211 2 0.0 1.6 -0.1249999999999965 4.898979485566356 16 4 0
197 24 15 1.25 0.05434782608695652 3 0.0 1.8333333333333333 -0.3366336633663355 5.477225575051661 19 4 0
209 27 17 1.2592592592592593 0.04843304843304843 3 0.0 1.8518518518518519 -0.38211382113821324 5.830951894845301 21 5 0
220 28 18 1.2857142857142858 0.047619047619047616 3 0.0 1.9285714285714286 -0.33333333333333653 6.0 21 6 0
227 31 20 1.2903225806451613 0.043010752688172046 3 0.0 1.935483870967742 -0.12500000000000333 6.324555320336759 23 7 0
238 35 22 1.2571428571428571 0.03697478991596639 3 0.0 1.8285714285714285 -0.06451612903225351 6.6332495807108 27 7 0
244 36 23 1.2777777777777777 0.03650793650793651 3 0.0 1.8888888888888888 -0.14427860696517214 6.782329983125268 27 8 0
244 36 23 1.2777777777777777 0.03650793650793651 3 0.0 1.8888888888888888 -0.14427860696517214 6.782329983125268 27 8 0
269 37 24 1.2972972972972974 0.036036036036036036 3 0.0 1.945945945945946 -0.1111111111111123 6.928203230275509 27 9 0
274 38 25 1.3157894736842106 0.03556187766714083 3 0.0 2.0526315789473686 -0.1513157894736901 7.0710678118654755 28 8 0
274 38 25 1.3157894736842106 0.03556187766714083 3 0.0 2.0526315789473686 -0.1513157894736901 7.0710678118654755 28 8 0
292 40 26 1.3 0.03333333333333333 3 0.0 2.0 -0.12345679012345868 7.211102550927978 30 8 0
292 40 26 1.3 0.03333333333333333 3 0.0 2.0 -0.12345679012345868 7.211102550927978 30 8 0
292 40 26 1.3 0.03333333333333333 3 0.0 2.0 -0.12345679012345868 7.211102550927978 30 8 0
324 44 29 1.3181818181818181 0.0306553911205074 3 0.0 2.0454545454545454 -0.1387434554973843 7.615773105863909 32 10 0
338 47 31 1.3191489361702127 0.028677150786308975 3 0.0 2.0425531914893615 -0.16981132075471056 7.87400787401181 34 11 0
338 47 31 1.3191489361702127 0.028677150786308975 3 0.0 2.0425531914893615 -0.16981132075471056 7.87400787401181 34 11 0
358 48 32 1.3333333333333333 0.028368794326241134 3 0.0 2.0833333333333335 -0.22522522522522523 8.0 34 12 0
366 51 35 1.3725490196078431 0.027450980392156862 3 0.0 2.2745098039215685 -0.307471264367816 8.366600265340756 36 11 0
378 55 37 1.3454545454545455 0.024915824915824916 3 0.0 2.1818181818181817 -0.25587467362923944 8.602325267042627 40 11 0
378 55 37 1.3454545454545455 0.024915824915824916 3 0.0 2.1818181818181817 -0.25587467362923944 8.602325267042627 40 11 0
400 59 42 1.423728813559322 0.024547048509643482 3 0.0 2.4745762711864407 -0.26344576116682383 9.16515138991168 40 13 0
407 63 44 1.3968253968253967 0.022529441884280594 3 0.0 2.380952380952381 -0.21506276150627557 9.38083151964686 44 13 0
411 64 45 1.40625 0.022321428571428572 3 0.0 2.40625 -0.2112561174551398 9.486832980505138 44 14 0
429 67 48 1.4328358208955223 0.021709633649932156 4 0.0 2.5671641791044775 -0.16043956043955765 9.797958971132712 46 14 0
439 73 53 1.452054794520548 0.020167427701674276 4 0.0 2.6575342465753424 -0.1961805555555573 10.295630140987 50 14 0
448 75 56 1.4933333333333334 0.02018018018018018 4 0.0 2.8 -0.24099722991689954 10.583005244258363 49 16 0
458 78 58 1.4871794871794872 0.019314019314019316 4 0.0 2.7948717948717947 -0.22520587182241716 10.770329614269007 52 15 0
464 82 61 1.4878048780487805 0.018367961457392352 5 0.0 2.8536585365853657 -0.17664974619289345 11.045361017187261 55 16 0
475 84 62 1.4761904761904763 0.01778542742398164 5 0.0 2.8095238095238093 -0.16173570019723277 11.135528725660043 57 16 0
